displacement,velocity,d_theta,class
18,0.6,0.2,0
340.87,2.73,1.64,0
81.81,0.65,0.23,0
2.51,0.08,0.1,1
109.77,0.88,0.01,0
50,0.3,0.2,0
277.88,2.22,1.46,0
27.33,0.22,1.86,0
518.48,4.15,1.16,0
41,0.8,0.1,0
3.28,0.1,0.33,1
4.52,0.14,0.2,1
61,0.7,0.7,0
18.77,0.15,0.26,0
361.42,2.89,1.39,0
52,0.8,0.2,0
21,0.9,0.3,0
2.23,0.07,0.02,1
2.15,0.06,0.07,1
42,0.3,0.6,0
141.12,1.13,0.09,0
102.68,0.82,1.62,0
2.5,0.08,0.08,1
4.96,0.15,0.24,1
2.74,0.08,0.08,1
2.1,0.06,0.06,1
157.41,1.26,0.68,0
40,1.1,0.2,0
494.43,3.96,1.08,0
359.83,2.88,2.02,0
2.5,0.08,0.07,1
163.44,1.31,1.25,0
48,1.2,0.3,0
78,0.5,0.7,0
1.63,0.05,0.08,1
37.06,0.3,0.02,0
83.93,0.67,0.08,0
3.18,0.1,0.14,1
34,0.8,0.2,0
188.45,1.51,0.19,0
136.48,1.09,2.23,0
4.77,0.14,0.21,1
617.15,4.94,1.56,0
2.72,0.08,0.11,1
2.91,0.09,0.06,1
17,0.5,0.2,0
28,0.2,0.2,0
5.3,0.16,0.16,1
594.23,4.75,1.36,0
57,0.7,0.4,0
2.74,0.08,0.07,1
3.09,0.09,0.01,1
4.02,0.12,0.25,1
389.53,3.12,1.41,0
0,0,0,1
1.82,0.06,0.01,1
25,0.6,0.3,0
6.08,0.18,0.26,1
79,1.2,0.6,0
37.85,0.3,0.14,0
50.28,0.4,0.11,0
6.52,0.2,0.29,1
23,0.4,0.1,0
1.02,0.03,0.03,1
1.85,0.06,0.06,1
18,0.6,0.7,0
82.39,0.66,0.1,0
3.54,0.11,0.2,1
3.14,0.09,0.22,1
3.3,0.1,0.03,1
2.99,0.09,0.06,1
468.17,3.75,1.4,0
510.94,4.09,1.5,0
3.49,0.11,0.15,1
3.24,0.1,0.04,1
102.92,0.82,0.02,0
42,0.6,0.3,0
71,0.3,0.5,0
453.39,3.63,1.36,0
2.16,0.07,0.1,1
49,1,0.1,0
49,0.7,0.4,0
78,0.2,0.4,0
584.88,4.68,1.62,0
465.65,3.73,1.16,0
18.67,0.15,1.24,0
30,0.3,0.4,0
2.34,0.07,0.09,1
105.42,0.84,0.09,0
3.17,0.1,0.04,1
4.33,0.13,0.07,1
3.13,0.09,0.3,1
688.91,5.51,1.35,0
237.47,1.9,1.48,0
12,0.2,0.6,0
4.32,0.13,0.23,1
18,1.1,0.6,0
147.36,1.18,0.08,0
2.19,0.07,0.08,1
50,0.6,0.1,0
3.08,0.02,0.12,0
32,1.2,0.5,0
51,1.1,0.3,0
15,0.8,0.3,0
35.49,0.28,0,0
48,0.38,0,0
3.05,0.09,0.03,1
285.89,2.29,0.02,0
5.64,0.17,0.02,1
35,0.7,0.5,0
4.04,0.12,0.16,1
2.58,0.08,0.07,1
359.97,2.88,1.92,0
3.27,0.1,0.11,1
4.01,0.12,0.09,1
473.86,3.79,1.01,0
52,0.6,0.6,0
517.7,4.14,1.48,0
28.94,0.23,0.63,0
38,0.4,0.6,0
311.09,2.49,1.41,0
42.71,0.34,1.45,0
85.91,0.69,0.03,0
42,0.7,0.4,0
36.29,0.29,2.7,0
463.38,3.71,1.29,0
42.56,0.34,0.41,0
1.96,0.06,0.01,1
45,0.3,0.5,0
155.71,1.25,0.18,0
3.24,0.1,0.03,1
64.8,0.52,0.03,0
